mrt_station_english,latitude,longitude
Jurong East,1.3331306,103.7420909
Bukit Batok,1.3485061,103.7492218
Bukit Gombak,1.3589147,103.7518308
Choa Chu Kang,1.3853846,103.7443373
Yew Tee,1.3973289,103.7475018
Kranji,1.4252268,103.7620278
Marsiling,1.4325578,103.7741607
Woodlands,1.4369416,103.7863953
Admiralty,1.440613,103.8009629
Sembawang,1.4490801,103.8200578
Yishun,1.4295484,103.8350332
Khatib,1.4173483,103.8329731
Yio Chu Kang,1.3817217,103.844934
Ang Mo Kio,1.3699718,103.8495876
Bishan,1.3510417,103.8499304
Braddell,1.3405397,103.8470762
Toa Payoh,1.3323297,103.8474252
Novena,1.3200248,103.8433833
Newton,1.3137897,103.8377317
Orchard,1.3040084,103.831781
Somerset,1.3006433,103.8385237
Dhoby Ghaut,1.2994693,103.8454005
City Hall,1.293076,103.8520677
Raffles Place,1.2842253,103.8514256
Marina Bay,1.2833754,103.8607264
Marina South Pier,1.2714087,103.863631
Pasir Ris,1.3731912,103.9493534
Tampines,1.3546232,103.9426673
Simei,1.3431974,103.9533771
Tanah Merah,1.3272444,103.9464897
Bedok,1.3240113,103.9301725
Kembangan,1.321004,103.9130221
Eunos,1.3197457,103.9028867
Paya Lebar,1.3181378,103.8929866
Aljunied,1.3163668,103.8827723
Kallang,1.3114784,103.8713507
Lavender,1.3074261,103.862848
Bugis,1.3009346,103.856102
City Hall,1.293076,103.8520677
Raffles Place,1.2842253,103.8514256
Tanjong Pagar,1.2763434,103.8467763
Outram Park,1.2802064,103.8402666
Tiong Bahru,1.2865018,103.8269778
Redhill,1.2896415,103.8167982
Queenstown,1.2948352,103.8059016
Commonwealth,1.3023957,103.7983157
Buona Vista,1.3072578,103.7899857
Dover,1.3113761,103.7786986
Clementi,1.3151606,103.765206
Jurong East,1.3331306,103.7420909
Chinese Garden,1.3423961,103.7325764
Lakeside,1.344243,103.7207754
Boon Lay,1.3385559,103.7058277
Pioneer,1.3375829,103.6974107
Joo Koon,1.3277513,103.6783178
Gul Circle,1.3197555,103.6608303
Tuas Crescent,1.3178201,103.6396998
Tuas West Road,1.3300485,103.6396175
Tuas Link,1.3403171,103.6368663
Expo,1.3344041,103.9614807
Changi Airport,1.3576001,103.9884873
HarbourFront,1.2653889,103.8205139
Outram Park,1.2802064,103.8402666
Chinatown,1.2844913,103.8435939
Clarke Quay,1.2881554,103.8467181
Dhoby Ghaut,1.2994693,103.8454005
Little India,1.3062896,103.8493919
Farrer Park,1.3126142,103.8548616
Boon Keng,1.3193362,103.8620445
Potong Pasir,1.3311575,103.8690734
Woodleigh,1.3391274,103.8707373
Serangoon,1.3497383,103.8736211
Kovan,1.360175,103.8851627
Hougang,1.3713312,103.8925439
Buangkok,1.3831446,103.8931018
Sengkang,1.3916609,103.8954533
Punggol,1.40517,103.9023559
Dhoby Ghaut,1.2994693,103.8454005
Bras Basah,1.2969461,103.8507366
Esplanade,1.2939413,103.8553744
Promenade,1.2940121,103.8603672
Nicoll Highway,1.3002063,103.8634707
Stadium,1.3027829,103.8754063
Mountbatten,1.3060844,103.8831531
Dakota,1.30841,103.888814
Paya Lebar,1.3181378,103.8929866
MacPherson,1.3267049,103.8898898
Tai Seng,1.3358756,103.8877164
Bartley,1.3422592,103.8802886
Serangoon,1.3497383,103.8736211
Lorong Chuan,1.3514978,103.8649467
Bishan,1.3510417,103.8499304
Marymount,1.3490142,103.8390947
Caldecott,1.3375953,103.8396058
Botanic Gardens,1.3223117,103.8149268
Farrer Road,1.3175741,103.807711
Holland Village,1.3111325,103.7961377
Buona Vista,1.3072926,103.7900572
one-north,1.299949,103.7874148
Kent Ridge,1.2924896,103.7848814
Haw Par Villa,1.2830841,103.7819799
Pasir Panjang,1.2760476,103.7918952
Labrador Park,1.2721259,103.8025575
Telok Blangah,1.2707152,103.809878
HarbourFront,1.2653889,103.8205139
Bayfront,1.2813386,103.8589551
Marina Bay,1.2833754,103.8607264
Bukit Panjang,1.3786042,103.761432
Cashew,1.3699756,103.7645794
Hillview,1.3630377,103.7674128
Beauty World,1.3415369,103.7759908
King Albert Park,1.3368888,103.7794408
Sixth Avenue,1.3311776,103.7972016
Tan Kah Kee,1.3257996,103.8079556
Botanic Gardens,1.3138397,103.8159136
Stevens,1.3199584,103.8259427
Newton,1.3137897,103.8377317
Little India,1.3062896,103.8493919
Rochor,1.3035362,103.8525596
Bugis,1.3006959,103.8548899
Promenade,1.2940121,103.8603672
Bayfront,1.2813386,103.8589551
Downtown,1.2794576,103.8528128
Telok Ayer,1.282221,103.8485947
Chinatown,1.2847875,103.8439312
Fort Canning,1.2921101,103.844762
Bencoolen,1.2991967,103.8506423
Jalan Besar,1.3085131,103.8573782
Bendemeer,1.3193362,103.8620445
Geylang Bahru,1.321431,103.871702
Mattar,1.3272214,103.8828949
MacPherson,1.3267049,103.8898898
Ubi,1.3298687,103.900048
Kaki Bukit,1.334927,103.909016
Bedok North,1.3351391,103.918397
Bedok Reservoir,1.3365646,103.9319058
Tampines West,1.345626,103.9382185
Tampines,1.3547754,103.9432929
Tampines East,1.3563083,103.9546511
Upper Changi,1.3450101,103.9832089
Expo,1.3344041,103.9614807
Choa Chu Kang,1.3853846,103.7443373
South View,1.380286,103.745203
Keat Hong,1.378686,103.748947
Teck Whye,1.3766685,103.7535493
Phoenix,1.352083,103.819836
Bukit Panjang,1.3783155,103.762459
Petir,1.352083,103.819836
Pending,1.352083,103.819836
Bangkit,1.380215,103.7725763
Fajar,1.352083,103.819836
Segar,1.352083,103.819836
Jelapang,1.3858976,103.7672889
Senja,1.3866896,103.7619298
Ten Mile Junction,1.3797641,103.7604519
Sengkang,1.3916609,103.8954533
Compassvale,1.3944978,103.9004398
Rumbia,1.391482,103.9059479
Bakau,1.3880083,103.9054232
Kangkar,1.383899,103.9021743
Ranggung,1.3840212,103.8974179
Cheng Lim,1.396302,103.8938042
Farmway,1.3971505,103.8892294
Kupang,1.3982154,103.8813249
Thanggam,1.397371,103.87542
Fernvale,1.3919085,103.8762379
Layar,1.3921296,103.8799776
Tongkang,1.389286,103.886145
Renjong,1.3866901,103.8905258
Punggol,1.3368944,103.8894782
Cove,1.3994505,103.9058244
Meridian,1.3968422,103.9089515
Coral Edge,1.393463,103.912221
Riviera,1.3944537,103.9160606
Kadaloor,1.3995025,103.9165279
Oasis,1.401626,103.913702
Damai,1.405283,103.907801
Sam Kee,1.4097514,103.9048987
Teck Lee,1.287953,103.849043
Punggol Point,1.3984457,103.9072046
Samudera,1.352083,103.819836
Nibong,1.4118256,103.9003015
Sumang,1.4082573,103.895989
Soo Teck,1.4044943,103.8970444
